# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_param2 v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
30273000 0.1 0.01 0 294.915 -514.076 16539.4 -6046.44 -0.00058872 0.000890894
30274000 0.1 0.01 0 293.807 974.055 16568.3 -6101.79 -0.000163667 0.000277702
30275000 0.1 0.01 0 312.008 -121.683 16863.5 -6046.73 -0.000476639 0.000729192
30276000 0.1 0.01 0 297.585 -396.23 16878.1 -6087.84 -0.000324364 0.000510365
30277000 0.1 0.01 0 290.138 307.493 16336 -6082.66 -0.000177086 0.000297167
30278000 0.1 0.01 0 305.3 -422.461 16677.4 -6022.76 -0.000351391 0.000553109
30279000 0.1 0.01 0 294.656 -464.589 16533.6 -6065.61 -0.00041384 0.000642805
30280000 0.1 0.01 0 298.374 1011.99 16611.6 -6109.56 -0.000373333 0.000582297
30281000 0.1 0.01 0 305.08 -645.633 16922.5 -6035.98 -0.000437338 0.000676197
30282000 0.1 0.01 0 287.216 -730.163 16988.8 -6063.09 -0.000360227 0.000562808
30283000 0.1 0.01 0 295.21 -363.337 16786.9 -6042.62 -0.000282086 0.000446687
30284000 0.1 0.01 0 297.935 -1104.31 16828.2 -6085.63 -0.000382805 0.000596933
30285000 0.1 0.01 0 291.096 -480.021 16638.4 -6125.23 -0.000517526 0.000789038
30286000 0.1 0.01 0 299.48 -523.621 16481.7 -6087.01 -0.000549438 0.000833581
30287000 0.1 0.01 0 283.063 -405.899 16694.9 -6145.97 -0.000585084 0.00088563
30288000 0.1 0.01 0 307.738 -434.712 16308.9 -6105.56 -0.000590008 0.000897666
30289000 0.1 0.01 0 301.046 -39.2329 16765.7 -6022.28 -0.000622672 0.000940366
30290000 0.1 0.01 0 293.583 -1476.5 16861.8 -6011.81 -0.000448657 0.00068993
30291000 0.1 0.01 0 318.524 -601.125 16547.3 -6124.05 -0.000404726 0.000625607
30292000 0.1 0.01 0 312.324 -217.239 16637.9 -6092.73 -0.000518989 0.000788852
