# Time-averaged data for fix FEPout
# TimeStep v_param v_deltacdm v_param2 v_tinst v_pinst v_vinst v_pe c_FEPdb[1] c_FEPdf[1]
44239000 0 0.01 0 295.933 -479.362 16613.1 -6072.21 -3.94139e-08 -2.74558e-08
44240000 0 0.01 0 302.859 -1129.56 16883 -6041.56 -1.85246e-08 -2.99406e-09
44241000 0 0.01 0 310.837 421.934 16604.9 -6118.96 1.18889e-08 3.18869e-08
44242000 0 0.01 0 297.78 45.2499 16744.4 -6053.5 2.00598e-08 3.94975e-08
44243000 0 0.01 0 297.45 526.239 16593.9 -6087.14 -2.26282e-09 1.40208e-08
44244000 0 0.01 0 304.624 200.263 16841.4 -6054.77 1.80989e-08 3.67618e-08
44245000 0 0.01 0 299.223 1206.8 16179.6 -6007.39 2.65572e-09 2.04054e-08
44246000 0 0.01 0 303.946 -229.614 16538.8 -6124.71 -6.33736e-09 9.53878e-09
44247000 0 0.01 0 307.039 -74.7582 16495.4 -6026.27 1.46756e-08 3.25563e-08
44248000 0 0.01 0 312.226 244.643 16478.4 -6124.27 1.7244e-08 3.63398e-08
44249000 0 0.01 0 280.668 496.724 16588.6 -6120.83 -2.3465e-09 1.46065e-08
44250000 0 0.01 0 303.859 -160.616 16865.2 -6104.51 2.54659e-11 1.67202e-08
44251000 0 0.01 0 291.906 -45.2943 16542.8 -6070.36 1.47993e-08 3.33166e-08
44252000 0 0.01 0 304.993 -688.066 16648.8 -6068.73 -2.16642e-08 -8.56016e-09
44253000 0 0.01 0 285.429 695.288 16710.6 -6166.75 1.52322e-08 3.36477e-08
44254000 0 0.01 0 312.113 -91.8654 16531.7 -6177.68 3.20251e-08 5.27762e-08
44255000 0 0.01 0 303.798 1296.67 16455.1 -6099.07 1.31658e-08 3.18942e-08
44256000 0 0.01 0 302.772 43.1033 16480.1 -6138.28 1.1416e-08 2.97186e-08
44257000 0 0.01 0 293.586 33.1156 16800.3 -6067.25 8.81846e-09 2.66227e-08
44258000 0 0.01 0 293.481 -262.59 16943.3 -6058.57 -2.54149e-08 -1.26311e-08
44259000 0 0.01 0 292.751 -287.22 16705.7 -6106.77 -3.72529e-08 -2.64554e-08
44260000 0 0.01 0 291.471 -373.089 16784 -6074.93 -7.41093e-08 -6.67023e-08
44261000 0 0.01 0 302.716 -368.945 16490.9 -6086.91 1.34714e-08 3.2338e-08
44262000 0 0.01 0 303.774 -178.079 16788.4 -5990.41 -3.42552e-08 -2.09038e-08
44263000 0 0.01 0 306.235 686.93 16428.9 -6120.51 5.08226e-09 2.34359e-08
44264000 0 0.01 0 302.003 658.699 16546.1 -6106.3 -1.75241e-08 -2.45564e-09
44265000 0 0.01 0 297.195 80.5888 16585.9 -6133.9 -2.31375e-08 -8.51651e-09
44266000 0 0.01 0 306.824 485.635 16563.7 -6105.21 1.84737e-08 3.75585e-08
44267000 0 0.01 0 294.818 -258.177 16824.4 -6119.16 -4.36557e-11 1.65528e-08
44268000 0 0.01 0 283.485 -1944.94 16672 -6102.62 -3.00388e-08 -1.70548e-08
44269000 0 0.01 0 294.672 -1271.06 16184 -6123.89 -3.62706e-09 1.46865e-08
44270000 0 0.01 0 301.055 974.992 16429.6 -6082.73 -3.08501e-09 1.26674e-08
44271000 0 0.01 0 293.374 455.997 16474 -6087.75 -1.63709e-08 -1.70621e-09
44272000 0 0.01 0 308.512 566.878 16481.9 -6078.49 2.3676e-08 4.40523e-08
44273000 0 0.01 0 290.605 -289.316 16748.3 -6117.28 1.64691e-08 3.50083e-08
44274000 0 0.01 0 293.188 -988.759 16873.3 -6143.48 -2.24099e-09 1.50103e-08
44275000 0 0.01 0 299.303 142.498 16799.4 -6119.3 -3.65617e-09 1.27548e-08
44276000 0 0.01 0 304.542 -284.689 16843.3 -6010.59 1.75023e-08 3.6649e-08
44277000 0 0.01 0 298.26 -41.0522 16728.1 -6068.1 1.26565e-08 3.13121e-08
44278000 0 0.01 0 295.879 176.064 16716.8 -6061.46 2.15696e-08 4.05234e-08
44279000 0 0.01 0 287.81 630.809 16699.9 -6086.49 -4.16185e-09 1.24564e-08
44280000 0 0.01 0 286.779 678.665 16770.7 -6101.73 -3.15413e-09 1.31768e-08
44281000 0 0.01 0 295.738 35.0387 16563.1 -6116.99 4.22006e-10 1.78406e-08
