# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
279000 1 0.637971 -0.452754 127.212 -5.64816 0.189246 0 0 -554.294 -22.0069
280000 1 0.710995 -0.42239 125.178 -5.74105 0.0734721 0 0 -564.839 -20.8215
281000 1 0.703524 -0.276263 124.196 -5.75934 0.11664 0 0 -567.893 -19.6771
282000 1 0.713994 0.258655 121.978 -5.79079 0.0825291 0 0 -569.588 -21.1556
283000 1 0.796036 0.0818478 126.864 -5.57289 2.04859 0 0 -549.623 -20.8599
284000 1 0.700447 0.178571 123.68 -5.71861 0.0438853 0 0 -563.175 -20.1671
285000 1 0.786482 -0.351497 128.448 -5.51305 0.000529148 0 0 -542.676 -19.6559
286000 1 0.712374 -0.77499 123.002 -5.91798 0.0901394 0 0 -581.736 -21.9887
287000 1 0.640815 -0.70467 123.891 -5.84259 0.719476 0 0 -577.326 -19.337
288000 1 0.599396 -0.0464517 123.545 -5.71904 0.347196 0 0 -565.682 -18.0069
289000 1 0.706724 0.0614655 122.553 -5.79515 0.232034 0 0 -568.306 -23.0313
290000 1 0.759106 0.574442 123.556 -5.66433 0.00888498 0 0 -557.458 -20.3128
291000 1 0.763933 1.09967 122.961 -5.59655 1.57491 0 0 -549.999 -22.424
292000 1 0.786882 0.315326 121.947 -5.81997 0.014133 0 0 -572.874 -20.7772
293000 1 0.736523 0.302521 127.077 -5.44413 0.671964 0 0 -536.443 -19.5302
