# Time-averaged data for fix FEPout
# TimeStep v_param v_tinst v_pinst v_vinst v_pe c_pe_solute_bond c_pe_solute_pair c_pe_solvent_bond c_pe_solvent_pair c_pe_inter_pair
6169000 1.2 0.800261 0.0142605 123.443 -5.82584 0.353185 0 0 -569.638 -24.9511
6170000 1.2 0.678144 0.422272 122.145 -5.79019 0.139419 0 0 -563.825 -26.9141
6171000 1.2 0.703465 -0.170727 121.961 -5.90467 0.524396 0 0 -576.618 -26.183
6172000 1.2 0.625086 -0.193212 125.107 -5.72784 0.297643 0 0 -559.128 -25.4098
6173000 1.2 0.656266 -1.03857 129.322 -5.65077 0.00396206 0 0 -551.438 -24.9446
6174000 1.2 0.698561 -0.371818 126.941 -5.62856 0.0630756 0 0 -547.61 -26.566
6175000 1.2 0.723502 0.266704 124.877 -5.6587 8.74765e-05 0 0 -549.87 -27.3174
6176000 1.2 0.731068 1.17194 118.924 -5.808 0.78782 0 0 -565.318 -27.8861
6177000 1.2 0.718077 0.262331 125.473 -5.595 0.121479 0 0 -546.51 -24.3009
6178000 1.2 0.567998 -0.169113 122.031 -5.9025 0.224409 0 0 -579.162 -23.1175
6179000 1.2 0.71548 0.0745584 125.233 -5.71702 0.0208622 0 0 -555.461 -27.6952
6180000 1.2 0.739584 0.164792 126.221 -5.66957 0.557617 0 0 -553.118 -25.7358
6181000 1.2 0.771855 0.306596 122.822 -5.79586 0.00201436 0 0 -563.601 -27.5786
6182000 1.2 0.720653 0.423603 119.573 -5.98875 0.0635318 0 0 -581.416 -29.5002
6183000 1.2 0.650557 -0.162018 123.727 -5.80971 0.0411333 0 0 -568.489 -24.1428
6184000 1.2 0.629964 -0.234205 124.04 -5.79364 0.0143542 0 0 -560.918 -30.0483
6185000 1.2 0.748927 0.0968339 124.073 -5.72626 0.018877 0 0 -558.077 -26.0201
6186000 1.2 0.845734 0.167971 122.102 -5.90566 0.2518 0 0 -575.593 -27.0366
6187000 1.2 0.688298 0.247749 122.58 -5.81356 0.0154089 0 0 -568.681 -24.3181
6188000 1.2 0.632015 -0.034093 124.73 -5.67535 1.00192 0 0 -553.886 -26.0015
6189000 1.2 0.708218 0.383384 119.808 -5.9591 0.0105981 0 0 -579.134 -28.704
6190000 1.2 0.683159 0.420613 125.907 -5.57993 0.717271 0 0 -544.142 -25.7283
6191000 1.2 0.644054 0.604484 121.554 -5.79591 0.43721 0 0 -562.152 -29.4674
6192000 1.2 0.778375 -0.785127 130.206 -5.59842 0.0255455 0 0 -545.667 -25.3975
6193000 1.2 0.679262 0.178976 122.253 -5.86066 0.0243867 0 0 -568.647 -29.1649
6194000 1.2 0.69747 -0.535523 126.551 -5.72953 0.168376 0 0 -557.772 -26.8089
6195000 1.2 0.744842 -0.529814 131.242 -5.44079 0.0591759 0 0 -530.85 -24.1697
6196000 1.2 0.735748 0.532812 120.597 -5.88764 0.147267 0 0 -574.532 -26.154
6197000 1.2 0.65698 -0.229047 125.787 -5.65946 0.000826733 0 0 -552.695 -24.5712
6198000 1.2 0.693871 -0.503598 124.976 -5.78575 0.00740309 0 0 -568.555 -21.5992
6199000 1.2 0.685507 0.762705 122.523 -5.75273 0.550941 0 0 -559.699 -27.6297
6200000 1.2 0.815698 0.104028 125.396 -5.68493 0.0970971 0 0 -554.017 -25.9432
6201000 1.2 0.631723 -0.277213 121.044 -5.99446 0.0370613 0 0 -584.137 -27.335
6202000 1.2 0.643796 -0.184198 124.538 -5.76591 0.0624498 0 0 -560.904 -27.2812
6203000 1.2 0.739735 -0.35388 126.11 -5.73223 0.0166586 0 0 -558.459 -26.2452
6204000 1.2 0.698702 0.00618241 123.185 -5.83255 0.165708 0 0 -569.434 -25.6517
6205000 1.2 0.761818 0.404697 128.097 -5.45284 0.0859338 0 0 -527.909 -28.3663
6206000 1.2 0.712789 -0.20176 122.34 -5.90983 0.0280103 0 0 -576.721 -26.1096
6207000 1.2 0.70566 -0.355094 124.008 -5.81381 0.00149108 0 0 -566.723 -26.2869
6208000 1.2 0.614822 0.432819 121.042 -5.85901 0.785638 0 0 -572.062 -26.3431
6209000 1.2 0.750184 0.0313425 120.143 -6.00414 0.650863 0 0 -585.456 -27.6168
6210000 1.2 0.754351 0.0203566 123.983 -5.73179 0.221055 0 0 -558.209 -26.6546
6211000 1.2 0.775546 0.47881 122.499 -5.75811 0.00915793 0 0 -561.655 -25.6814
6212000 1.2 0.701626 0.96657 124.214 -5.57642 0.159006 0 0 -542.976 -25.9773
6213000 1.2 0.648289 0.216221 124.512 -5.65091 0.0067453 0 0 -552.445 -23.9543
6214000 1.2 0.732558 -0.231552 123.877 -5.83525 0.198224 0 0 -573.451 -21.9421
6215000 1.2 0.675206 -0.535728 126.26 -5.75415 0.0126849 0 0 -558.806 -28.13
6216000 1.2 0.604317 -0.254896 121.756 -5.94782 0.0002785 0 0 -579.27 -27.4077
6217000 1.2 0.723688 0.0848407 124.583 -5.73726 1.17125 0 0 -559.868 -26.5035
6218000 1.2 0.69258 1.14626 121.476 -5.71292 0.056706 0 0 -554.761 -28.0131
6219000 1.2 0.732475 1.21833 124.152 -5.55732 0.0424734 0 0 -540.957 -25.9323
6220000 1.2 0.773104 0.276433 121.602 -5.89192 0.000107121 0 0 -574.415 -26.5612
6221000 1.2 0.773786 0.808394 120.414 -5.78361 1.56421 0 0 -563.707 -27.7856
6222000 1.2 0.834158 0.121149 123.405 -5.79468 0.0770761 0 0 -567.082 -24.0525
6223000 1.2 0.621314 0.207763 123.689 -5.76746 0.75171 0 0 -562.054 -26.9786
6224000 1.2 0.644711 -0.514523 122.247 -5.91428 0.965845 0 0 -578.441 -25.7806
6225000 1.2 0.581731 0.530368 125.557 -5.54808 0.184209 0 0 -540.429 -25.6594
6226000 1.2 0.760362 -0.330035 123.241 -5.89447 0.310122 0 0 -573.041 -28.5048
6227000 1.2 0.780178 0.321032 122.359 -5.78594 0.000963483 0 0 -563.642 -26.5247
6228000 1.2 0.751601 0.27436 120.812 -5.90116 0.243796 0 0 -571.655 -30.5077
6229000 1.2 0.667263 -0.219566 124.069 -5.74438 0.112352 0 0 -559.505 -26.5339
6230000 1.2 0.704245 -0.450404 125.991 -5.71115 0.471482 0 0 -556.463 -26.5454
6231000 1.2 0.626216 -0.0411361 123.832 -5.77212 0.00275548 0 0 -558.308 -30.4514
6232000 1.2 0.566417 0.0647312 122.449 -5.86994 0.77853 0 0 -572.789 -26.7233
6233000 1.2 0.654878 0.236231 126.911 -5.55158 1.29901 0 0 -541.133 -26.4273
6234000 1.2 0.770155 0.162391 120.124 -5.9858 0.155034 0 0 -583.146 -27.5608
6235000 1.2 0.738368 -0.0211719 121.419 -5.90712 0.103997 0 0 -575.451 -27.1792
6236000 1.2 0.641279 -0.074171 131.657 -5.38586 0.136258 0 0 -521.235 -28.259
6237000 1.2 0.703887 -0.434896 122.27 -5.91449 0.0839414 0 0 -575.871 -27.4907
6238000 1.2 0.760577 -0.225683 124.367 -5.81173 0.0896191 0 0 -566.98 -25.9056
6239000 1.2 0.784524 0.464059 120.607 -5.88475 0.0505472 0 0 -573.494 -26.8014
6240000 1.2 0.765929 0.874059 124.988 -5.50673 0.00249025 0 0 -534.989 -26.6999
6241000 1.2 0.71887 0.116896 122.796 -5.78113 0.147055 0 0 -563.266 -26.5566
6242000 1.2 0.576579 0.0160926 126.555 -5.60319 0.0228178 0 0 -547.276 -24.2721
6243000 1.2 0.688285 -0.605981 124.081 -5.89133 0.232564 0 0 -573.115 -28.0335
6244000 1.2 0.707485 -0.372188 124.092 -5.8416 4.8141e-05 0 0 -566.638 -29.205
6245000 1.2 0.6559 0.261793 120.218 -5.94203 0.0495185 0 0 -581.996 -24.1405
6246000 1.2 0.876639 -0.159503 125.927 -5.70269 0.963595 0 0 -553.796 -28.8427
6247000 1.2 0.634677 0.371956 122.326 -5.75304 0.0708648 0 0 -563.453 -23.4289
6248000 1.2 0.725368 -0.0784639 124.335 -5.77848 0.224822 0 0 -562.915 -26.7157
6249000 1.2 0.705577 -0.463754 125.789 -5.71198 0.000255089 0 0 -558.125 -24.4975
6250000 1.2 0.691379 0.148229 120.91 -5.89963 0.12206 0 0 -575.334 -26.5505
6251000 1.2 0.765504 -0.14585 127.53 -5.56835 0.238127 0 0 -543.725 -24.4852
6252000 1.2 0.664501 -0.15562 120.508 -5.96355 0.0031625 0 0 -580.348 -27.9376
6253000 1.2 0.668036 -0.389547 125.953 -5.69073 1.50584 0 0 -558.429 -23.5311
6254000 1.2 0.636546 -0.0418478 123.596 -5.79025 0.987799 0 0 -568.251 -23.3423
6255000 1.2 0.725455 0.297103 119.92 -5.98567 0.616279 0 0 -582.677 -28.4778
6256000 1.2 0.753148 0.796384 122.874 -5.6864 0.191982 0 0 -555.852 -24.3526
